ID_CATEGORIA;NOMBRE_CATEGORIA;CATEGORIA_PADRE
772;Abrazaderas sin fin zincadas;609
773;Abrazaderas sin fin inoxidables;609
774;Abrazaderas Butaclamp;609
775;Abrazaderas especiales;609
776;Cinta perforada;609
1132;Abrazaderas 2 Orejas;609
610;Tacos ;18
792;Tacos plástico blancos;610
793;Tacos nylon grises;610
794;Tacos para sanitarios;610
795;Tacos con tornillo;610
796;Tacos mini;610
797;Tacos para pladur;610
798;Tacos SN;610
799;Tacos multiacción MU;610
800;Tacos multiacción MU con tornillo;610
611;Grapas metálicas;18
612;Angulos y placas;18
613;Colgadores;18
614;Soportes para madera;18
615;Varilla roscada;18
616;Espigas de madera;18
618;Chinchetas y tachuelas;18
1086;Caballetes ;18
1129;Palomillas aire acondicionado;18
19;Trefileria;10
72;Mallas metálicas;19
474;Mallas de plástico;19
475;Grapas y pasadores para cercados;19
476;Mallas mosquiteras;19
477;Malla de sombreo clásica;19
584;Alambres especiales;19
585;Alambre galvanizado;19
586;Alambre latón;19
587;Alambre plastificado;19
589;Cadena decorativa;19
590;Cadena pulida;19
591;Cadena zincada;19
592;Cadena de plástico;19
593;Ronzales de cadena;19
594;Cable de acero;19
1076;Alambre para atadura de plantas;19
967;Grilletes;19
968;Guardacabos;19
969;Sujetacables;19
970;Tensores;19
971;Ganchos de carga;19
972;Ganchos uralita;19
973;Ganchos S;19
974;Enganches rápìdos cadena;19
975;Pasadores;19
976;Mosquetones bombero;19
977;Anillas;19
978;Mosquetones de muelle;19
979;Mosquetones anilla giratoria;19
980;Poleas;19
1077;Malla de sombreo al 90%;19
21;Carretillas y transpaletas;10
787;Carretillas;21
788;Transpaletas de almacén;21
897;Ruedas para carretillas;21
36;Escaleras;10
481;Escaleras Industriales;36
482;Escaleras Domésticas;36
483;Recambios escaleras;36
895;Andamios;36
51;Cordeleria;10
53;Abrasivos;10
350;Discos de corte abrasivos;53
351;Lijas recambio electroportátiles;53
352;Piedras de afilar y muelas;53
353;Cepillos;53
641;Discos lija;53
642;Abanicos lija;53
643;Discos laminas;53
644;Esponjas y tacos de lija;53
645;Lana de acero;53
646;Accesorios lija;53
647;Pliegos de lija;53
746;Discos de corte diamante;53
76;Coche;10
750;Cargabaterías y pinzas ;76
751;Gatos y herramientas;76
752;Herramientas de engrase;76
753;Pulpos y agarres;76
754;Limpieza del automovil;76
755;Espátulas carrocero;76
756;Antirrobos y protectores;76
757;Lámparas y linternas ;76
77;Moto;10
758;Antirrobos;77
759;Bombas de inflar;77
760;Pulpos y agarres;77
761;Carga-baterias y pinzas;77
762;Artículos de limpieza;77
78;Bicicleta;10
763;Antirrobos;78
764;Pulpos y agarres;78
765;Bombas de inflar;78
766;Soportes para bici;78
767;Linternas;78
768;Herramientas y parches;78
79;Aceites y lubricantes;10
178;Suelos de goma / Pvimentos y felpudos;10
257;Cubos de goma y plástico;10
293;Cortinas;10
568;Terminales;293
567;Anillas;293
316;Rieles ;293
328;Barras de madera;293
1057;Soportes tubo ovalado;293
331;Barras de forja;293
332;Barras zirconio;293
333;Barras de chapa;293
541;Estores;293
